"dbms","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CONSTRAINT_TYPE","REFERENCED_TABLE_SCHEMA","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
"mysql","igaming_platform","admin_audit_logs","id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","igaming_platform","admin_audit_logs","admin_user_id","2","bigint",NULL,"FOREIGN KEY","igaming_platform","users","id"
"mysql","igaming_platform","aggregator_providers","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","name","2","varchar","100","UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","code","3","varchar","20","UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","aggregator_id","2","int",NULL,"UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","aggregator_transaction_id","4","varchar","100","UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","aggregator_id","2","int",NULL,"FOREIGN KEY","igaming_platform","aggregator_providers","id"
"mysql","igaming_platform","aggregator_transactions","user_id","3","bigint",NULL,"FOREIGN KEY","igaming_platform","users","id"
"mysql","igaming_platform","bonus_types","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","igaming_platform","games","id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","igaming_platform","games","provider_id","2","int",NULL,"UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","games","game_code","3","varchar","100","UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","games","provider_id","2","int",NULL,"FOREIGN KEY","igaming_platform","game_providers","id"
"mysql","igaming_platform","game_providers","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","igaming_platform","game_providers","aggregator_id","2","int",NULL,"UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","game_providers","provider_code","3","varchar","50","UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","game_providers","aggregator_id","2","int",NULL,"FOREIGN KEY","igaming_platform","aggregator_providers","id"
"mysql","igaming_platform","game_sessions","id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","igaming_platform","game_sessions","session_id","4","varchar","100","UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","game_sessions","user_id","2","bigint",NULL,"FOREIGN KEY","igaming_platform","users","id"
"mysql","igaming_platform","game_sessions","game_id","3","bigint",NULL,"FOREIGN KEY","igaming_platform","games","id"
"mysql","igaming_platform","game_transactions","id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","igaming_platform","game_transactions","transaction_id","5","varchar","100","UNIQUE",NULL,NULL,NULL
"mysql","igaming_platform","game_transactions","session_id","2","bigint",NULL,"FOREIGN KEY","igaming_platform","game_sessions","id"
"mysql","igaming_platform","game_transactions","user_id","3","bigint",NULL,"FOREIGN KEY","igaming_platform","users","id"
"mysql","igaming_platform","game_transactions","game_id","4","bigint",NULL,"FOREIGN KEY","igaming_platform","games","id"
"mysql","igaming_platform","admin_audit_logs","action","3","varchar","100",NULL,NULL,NULL,NULL
"mysql","igaming_platform","admin_audit_logs","table_name","4","varchar","100",NULL,NULL,NULL,NULL
"mysql","igaming_platform","admin_audit_logs","record_id","5","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","admin_audit_logs","old_values","6","longtext","4294967295",NULL,NULL,NULL,NULL
"mysql","igaming_platform","admin_audit_logs","new_values","7","longtext","4294967295",NULL,NULL,NULL,NULL
"mysql","igaming_platform","admin_audit_logs","ip_address","8","varchar","45",NULL,NULL,NULL,NULL
"mysql","igaming_platform","admin_audit_logs","user_agent","9","text","65535",NULL,NULL,NULL,NULL
"mysql","igaming_platform","admin_audit_logs","created_at","10","timestamp",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","api_endpoint","4","varchar","255",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","api_key","5","varchar","255",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","api_secret","6","varchar","255",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","status","7","enum","11",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","supported_currencies","8","longtext","4294967295",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","supported_games","9","longtext","4294967295",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","config","10","longtext","4294967295",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","created_at","11","timestamp",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_providers","updated_at","12","timestamp",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","transaction_type","5","enum","10",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","amount","6","decimal",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","currency","7","enum","3",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","status","8","enum","10",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","source_account","9","varchar","100",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","destination_account","10","varchar","100",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","balance_before","11","decimal",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","balance_after","12","decimal",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","casino_transid","13","varchar","100",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","error_code","14","varchar","50",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","error_message","15","text","65535",NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","retry_count","16","int",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","max_retries","17","int",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","next_retry_at","18","timestamp",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","created_at","19","timestamp",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","updated_at","20","timestamp",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","aggregator_transactions","processed_at","21","timestamp",NULL,NULL,NULL,NULL,NULL
"mysql","igaming_platform","bonus_types","name","2","varchar","100",NULL,NULL,NULL,NULL
